date;10Drawdown
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0.002303399
04/05/2017;0
04/05/2017;0
04/05/2017;0.000475366
04/05/2017;0
04/05/2017;0.005229821
04/05/2017;0
04/05/2017;0.005692622
04/05/2017;0.01458019
04/05/2017;0.022038591
04/05/2017;0.008942388
04/05/2017;0.009604075
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0.008285236
04/05/2017;0.003136241
04/05/2017;0.005466047
04/05/2017;0.005357507
04/05/2017;0.004152139
04/05/2017;0.013193348
04/05/2017;0.003979808
04/05/2017;0.005802141
04/05/2017;0.008819368
04/05/2017;0.002207936
04/05/2017;0.005844986
04/05/2017;0.005030934
04/05/2017;0.011116803
04/05/2017;0.0161087
04/05/2017;0.01086259
04/05/2017;0.008275715
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0.002213702
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0.00314559
04/05/2017;0.000695572
05/05/2017;0.006203549
05/05/2017;0.007348229
05/05/2017;0.002800543
05/05/2017;0.0014094
05/05/2017;0
05/05/2017;0.006073626
05/05/2017;0.004318295
05/05/2017;0.003406978
05/05/2017;0.004246445
05/05/2017;0.000753974
05/05/2017;0.002305577
05/05/2017;0.004749397
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0.000738308
05/05/2017;0
05/05/2017;0.001257842
05/05/2017;0.005177382
05/05/2017;0
05/05/2017;0.001087332
05/05/2017;0
05/05/2017;0
05/05/2017;0.000461227
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0.004814862
05/05/2017;0.028989269
05/05/2017;0.019035501
05/05/2017;0.017648556
05/05/2017;0.021101921
05/05/2017;0.026394367
05/05/2017;0.018653773
05/05/2017;0.028806888
05/05/2017;0.020547992
05/05/2017;0.006367222
05/05/2017;0.003983543
05/05/2017;0.000653179
05/05/2017;0
05/05/2017;0.002770402
05/05/2017;0
05/05/2017;0.003510944
05/05/2017;0.00022603
05/05/2017;0.002281075
06/05/2017;0.005536073
06/05/2017;0
06/05/2017;0
06/05/2017;0
06/05/2017;0
06/05/2017;0.002645759
06/05/2017;0.003617184
06/05/2017;0.000729185
06/05/2017;0.004464616
06/05/2017;0
06/05/2017;0
06/05/2017;0.015444116
06/05/2017;0.020631123
06/05/2017;0.014889855
06/05/2017;0.022145941
06/05/2017;0.016729219
06/05/2017;0.012063774
06/05/2017;0.006995305
06/05/2017;0.005294915
06/05/2017;0.008882901
06/05/2017;0.017066027
06/05/2017;0.017295743
06/05/2017;0.01811896
06/05/2017;0.016603324
06/05/2017;0.015367272
